
Id: 1/Name: BASIC/Note: zkouska/Boat: 1/Cycles: 1/Before Delay: 0/Identifier: 2
1/CLOSE APERTURE/0/0
2/Linear/5000/10
3/Const/1000/10
4/OPEN APERTURE/0/10
5/Const/10000/10
6/CLOSE APERTURE/0/10
7/Const/1000/10
8/Linear/5000/0

Pressure:  mbar


v1
c
l 000 025 5000
k 1000
o
k 10000
c
k 1000
l 025 000 5000
100 ms time steps

Time[ms] PWM Iboat1[au] Iboat2[au] Info
13974 25 94 0 k*100*79
14073 25 96 1 k*100*80
14174 25 96 0 k*100*81
14274 25 95 3 k*100*82
14375 25 97 0 k*100*83
14475 25 98 0 k*100*84
14574 25 99 3 k*100*85
14675 25 95 0 k*100*86
14774 25 95 2 k*100*87
14875 25 95 2 k*100*88
14975 25 97 2 k*100*89
15075 25 96 2 k*100*90
15176 25 95 3 k*100*91
15275 25 95 4 k*100*92
15377 25 96 1 k*100*93
15476 25 95 1 k*100*94
15577 25 96 1 k*100*95
15678 25 96 0 k*100*96
15777 25 94 1 k*100*97
15878 25 98 1 k*100*98
15979 25 98 0 k*100*99
16078 25 97 1 k*100*last
16090 25 97 0 k*100*0
16188 25 98 2 k*100*1
16288 25 100 2 k*100*2
16389 25 100 0 k*100*3
16489 25 100 3 k*100*4
16590 25 99 0 k*100*5
16690 25 98 1 k*100*6
16790 25 100 2 k*100*7
16891 25 100 2 k*100*8
16990 25 93 1 k*100*9
17091 25 98 0 k*100*last
17106 25 94 1 l*100*0
17203 25 97 0 l*100*1
17304 24 98 1 l*100*2
17404 24 87 1 l*100*3
17504 23 91 3 l*100*4
17605 23 79 3 l*100*5
17705 22 78 4 l*100*6
17806 22 74 1 l*100*7
17906 21 81 3 l*100*8
18006 21 78 1 l*100*9
18107 20 71 0 l*100*10
18207 20 69 0 l*100*11
18307 19 67 2 l*100*12
18408 19 68 3 l*100*13
18508 18 68 2 l*100*14
18609 18 54 2 l*100*15
18710 17 60 0 l*100*16
18810 17 56 2 l*100*17
18910 16 50 0 l*100*18
19011 16 48 0 l*100*19
19111 15 42 1 l*100*20
19211 15 47 3 l*100*21
19311 14 32 0 l*100*22
19411 14 24 1 l*100*23
19512 13 31 2 l*100*24
19611 13 28 0 l*100*25
19711 12 21 0 l*100*26
19812 12 15 3 l*100*27
19912 11 14 0 l*100*28
20012 11 13 2 l*100*29
20113 10 8 1 l*100*30
20213 10 7 1 l*100*31
20313 9 10 1 l*100*32
20414 9 7 0 l*100*33
20514 8 6 1 l*100*34
20614 8 7 2 l*100*35
20715 7 5 0 l*100*36
20815 7 4 3 l*100*37
20915 6 5 1 l*100*38
21016 6 6 2 l*100*39
21116 5 6 1 l*100*40
21216 5 6 3 l*100*41
21317 4 5 3 l*100*42
21417 4 3 1 l*100*43
21518 3 3 0 l*100*44
21618 3 6 1 l*100*45
21718 2 5 2 l*100*46
21819 2 3 1 l*100*47
21919 1 5 2 l*100*48
22019 1 5 0 l*100*49
22120 0 2 0 l*100*last
